"","Squad","Country","LgRk","Pts.G","GF.90","xGF.90","GA.90","xGA.90","GD.90","xGD.90"
"61","Brentford","ENG",13,1.21,1.26315789473684,1.25789473684211,1.47368421052632,1.29210526315789,-0.210526315789474,-0.03
"62","Bologna","ITA",13,1.21,1.15789473684211,1.16052631578947,1.44736842105263,1.42631578947368,-0.289473684210526,-0.27
"63","Aston Villa","ENG",14,1.18,1.36842105263158,1.15789473684211,1.42105263157895,1.29210526315789,-0.0526315789473684,-0.13
"64","Montpellier","FRA",13,1.13,1.28947368421053,1.15,1.60526315789474,1.54473684210526,-0.315789473684211,-0.39
"65","Augsburg","GER",14,1.12,1.14705882352941,1.12058823529412,1.64705882352941,1.71470588235294,-0.5,-0.59
"66","Rayo Vallecano","ESP",12,1.11,1.02631578947368,1.19473684210526,1.31578947368421,1.22894736842105,-0.289473684210526,-0.04
"67","Elche","ESP",13,1.11,1.05263157894737,0.918421052631579,1.36842105263158,1.60789473684211,-0.315789473684211,-0.69
"68","Espanyol","ESP",14,1.11,1.05263157894737,0.997368421052632,1.39473684210526,1.36578947368421,-0.342105263157895,-0.37
"69","Angers","FRA",14,1.08,1.15789473684211,1.17894736842105,1.44736842105263,1.28947368421053,-0.289473684210526,-0.11
"70","Empoli","ITA",14,1.08,1.31578947368421,1.22631578947368,1.84210526315789,1.78421052631579,-0.526315789473684,-0.56
"71","Southampton","ENG",15,1.05,1.13157894736842,1.23157894736842,1.76315789473684,1.54210526315789,-0.631578947368421,-0.31
"72","Getafe","ESP",15,1.03,0.868421052631579,0.778947368421053,1.07894736842105,1.02631578947368,-0.210526315789474,-0.25
"73","Cádiz","ESP",17,1.03,0.921052631578947,1.09210526315789,1.34210526315789,1.38947368421053,-0.421052631578947,-0.3
"74","Everton","ENG",16,1.03,1.13157894736842,1.12631578947368,1.73684210526316,1.43421052631579,-0.605263157894737,-0.31
"75","Mallorca","ESP",16,1.03,0.947368421052632,1.05263157894737,1.65789473684211,1.27105263157895,-0.710526315789474,-0.22
"76","Troyes","FRA",15,1,0.973684210526316,1.03947368421053,1.39473684210526,1.33947368421053,-0.421052631578947,-0.3
"77","Granada","ESP",18,1,1.15789473684211,1.09210526315789,1.60526315789474,1.61578947368421,-0.447368421052632,-0.53
"78","Leeds United","ENG",17,1,1.10526315789474,1.24210526315789,2.07894736842105,1.84473684210526,-0.973684210526316,-0.6
